SampleID,SwabID,Pig,Location,Swab_Areas,Timepoint,Date,Day,Decomp_Stage,Temp,ADH,Day2,ADHAVG
FP1,1-1L1,1,L1,mouth,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP3,1-1L3,1,L3,ventral_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP5,1-1L5,1,L5,dorsal_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP6,2-1L1,2,L1,mouth,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP8,2-1L3,2,L3,ventral_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP10,2-1L5,2,L5,dorsal_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP11,3-1L1,3,L1,mouth,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP13,3-1L3,3,L3,ventral_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP15,3-1L5,3,L5,dorsal_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP16,4-1L1,4,L1,mouth,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP18,4-1L3,4,L3,ventral_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP20,4-1L5,4,L5,dorsal_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP21,5-1L1,5,L1,mouth,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP23,5-1L3,5,L3,ventral_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP25,5-1L5,5,L5,dorsal_skin,1,7/26/2018,1,Submerged_Fresh,NA,0,One,0
FP26,1-2L1,1,L1,mouth,2,7/26/2018,1,Submerged_Fresh,24.33,0,One,0
FP27,1-2L2,1,L2,ventral_cloth,2,7/26/2018,1,Submerged_Fresh,24.33,0,One,0
FP28,1-2L3,1,L3,ventral_skin,2,7/26/2018,1,Submerged_Fresh,24.33,0,One,0
FP29,1-2L4,1,L4,dorsal_cloth,2,7/26/2018,1,Submerged_Fresh,24.33,0,One,0
FP30,1-2L5,1,L5,dorsal_skin,2,7/26/2018,1,Submerged_Fresh,24.33,0,One,0
FP31,2-2L1,2,L1,mouth,2,7/26/2018,1,Submerged_Fresh,28.7,0,One,0
FP32,2-2L2,2,L2,ventral_cloth,2,7/26/2018,1,Submerged_Fresh,28.7,0,One,0
FP33,2-2L3,2,L3,ventral_skin,2,7/26/2018,1,Submerged_Fresh,28.7,0,One,0
FP34,2-2L4,2,L4,dorsal_cloth,2,7/26/2018,1,Submerged_Fresh,28.7,0,One,0
FP35,2-2L5,2,L5,dorsal_skin,2,7/26/2018,1,Submerged_Fresh,28.7,0,One,0
FP36,3-2L1,3,L1,mouth,2,7/26/2018,1,Submerged_Fresh,25.1,0,One,0
FP37,3-2L2,3,L2,ventral_cloth,2,7/26/2018,1,Submerged_Fresh,25.1,0,One,0
FP38,3-2L3,3,L3,ventral_skin,2,7/26/2018,1,Submerged_Fresh,25.1,0,One,0
FP39,3-2L4,3,L4,dorsal_cloth,2,7/26/2018,1,Submerged_Fresh,25.1,0,One,0
FP40,3-2L5,3,L5,dorsal_skin,2,7/26/2018,1,Submerged_Fresh,25.1,0,One,0
FP41,4-2L1,4,L1,mouth,2,7/26/2018,1,Submerged_Fresh,24.6,0,One,0
FP42,4-2L2,4,L2,ventral_cloth,2,7/26/2018,1,Submerged_Fresh,24.6,0,One,0
FP43,4-2L3,4,L3,ventral_skin,2,7/26/2018,1,Submerged_Fresh,24.6,0,One,0
FP44,4-2L4,4,L4,dorsal_cloth,2,7/26/2018,1,Submerged_Fresh,24.6,0,One,0
FP45,4-2L5,4,L5,dorsal_skin,2,7/26/2018,1,Submerged_Fresh,24.6,0,One,0
FP46,5-2L1,5,L1,mouth,2,7/26/2018,1,Submerged_Fresh,23.5,0,One,0
FP47,5-2L2,5,L2,ventral_cloth,2,7/26/2018,1,Submerged_Fresh,23.5,0,One,0
FP48,5-2L3,5,L3,ventral_skin,2,7/26/2018,1,Submerged_Fresh,23.5,0,One,0
FP49,5-2L4,5,L4,dorsal_cloth,2,7/26/2018,1,Submerged_Fresh,23.5,0,One,0
FP50,5-2L5,5,L5,dorsal_skin,2,7/26/2018,1,Submerged_Fresh,23.5,0,One,0
FP51,2-3L1,2,L1,mouth,3,7/30/2018,5,Early_Floating,24.2,2159.2,Five,2091.5
FP52,2-3L2,2,L2,ventral_cloth,3,7/30/2018,5,Early_Floating,24.2,2159.2,Five,2091.5
FP53,2-3L3,2,L3,ventral_skin,3,7/30/2018,5,Early_Floating,24.2,2159.2,Five,2091.5
FP54,2-3L4,2,L4,dorsal_cloth,3,7/30/2018,5,Early_Floating,24.2,2159.2,Five,2091.5
FP55,2-3L5,2,L5,dorsal_skin,3,7/30/2018,5,Early_Floating,24.2,2159.2,Five,2091.5
FP56,3-3L1,3,L1,mouth,3,7/30/2018,5,Early_Floating,23.9,2102.1,Five,2091.5
FP57,3-3L2,3,L2,ventral_cloth,3,7/30/2018,5,Early_Floating,23.9,2102.1,Five,2091.5
FP58,3-3L3,3,L3,ventral_skin,3,7/30/2018,5,Early_Floating,23.9,2102.1,Five,2091.5
FP59,3-3L4,3,L4,dorsal_cloth,3,7/30/2018,5,Early_Floating,23.9,2102.1,Five,2091.5
FP60,3-3L5,3,L5,dorsal_skin,3,7/30/2018,5,Early_Floating,23.9,2102.1,Five,2091.5
FP61,4-3L1,4,L1,mouth,3,7/30/2018,5,Early_Floating,24.1,2026.5,Five,2091.5
FP62,4-3L2,4,L2,ventral_cloth,3,7/30/2018,5,Early_Floating,24.1,2026.5,Five,2091.5
FP63,4-3L3,4,L3,ventral_skin,3,7/30/2018,5,Early_Floating,24.1,2026.5,Five,2091.5
FP64,4-3L4,4,L4,dorsal_cloth,3,7/30/2018,5,Early_Floating,24.1,2026.5,Five,2091.5
FP65,4-3L5,4,L5,dorsal_skin,3,7/30/2018,5,Early_Floating,24.1,2026.5,Five,2091.5
FP66,2-4L1,2,L1,mouth,4,8/3/2018,9,Floating_Decay,25.1,4609.7,Nine,4441
FP67,2-4L2,2,L2,ventral_cloth,4,8/3/2018,9,Floating_Decay,25.1,4609.7,Nine,4441
FP68,2-4L3,2,L3,ventral_skin,4,8/3/2018,9,Floating_Decay,25.1,4609.7,Nine,4441
FP69,3-4L1,3,L1,mouth,4,8/3/2018,9,Floating_Decay,25.1,4451.4,Nine,4441
FP70,3-4L2,3,L2,ventral_cloth,4,8/3/2018,9,Floating_Decay,25.1,4451.4,Nine,4441
