OTUID,Kingdom,Phylum,Order,Class,Family,Genus,Species
0000672cf37091ed24be6595ac42659c,D_0__Bacteria,D_1__Elusimicrobia,D_2__Elusimicrobia,D_3__LineageIV,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
0002a79d8631cd1555507d23c7c1997d,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rickettsiales,D_4__Mitochondria,,
0004f9e2fe26685a8a52da0e4bf2d78c,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Desulfovibrionales,D_4__Desulfovibrionaceae,D_5__Desulfovibrio,D_6__Desulfovibriosp.zt31
001acf50d19847e6b80938bfad04b6f1,D_0__Bacteria,D_1__Cyanobacteria,D_2__Oxyphotobacteria,D_3__OxyphotobacteriaIncertaeSedis,D_4__UnknownFamily,D_5__PhormidiumCYN64,D_6__unculturedbacterium
001cf256a455a741cd9ea14cbf9bb51d,D_0__Archaea,D_1__Nanoarchaeaeota,D_2__Woesearchaeia,,,,
001daae44ed56a7fc88a18bb5995bc97,D_0__Bacteria,D_1__Omnitrophicaeota,D_2__unculturedbacterium,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
00200e4e1f118907468ee81d746fe7e5,D_0__Bacteria,D_1__Cloacimonetes,D_2__Cloacimonadia,D_3__Cloacimonadales,D_4__GZKB75,D_5__unculturedbacterium,D_6__unculturedbacterium
0020695205d1d334e8d4569e06bf34c2,D_0__Bacteria,D_1__Patescibacteria,D_2__ABY1,D_3__CandidatusMagasanikbacteria,,,
0026a05498a91e547bd2c5890e00379b,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Paludibacteraceae,D_5__uncultured,
002edacc9c3f4e73a6f193d6f58d5cec,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Verrucomicrobiaceae,D_5__Prosthecobacter,D_6__metagenome
0031f49ff2b3fa728f209bdd5024dfea,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__NS11-12marinegroup,D_5__unculturedbacterium,D_6__unculturedbacterium
003f9425fc2e02d7002b8fa5c9a0b3b0,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Chromatiales,D_4__Chromatiaceae,D_5__Thiodictyon,D_6__proteobacteriumThd2
004a4652c49b16485d9661bd65d58fc6,D_0__Bacteria,D_1__Chloroflexi,D_2__Anaerolineae,D_3__Anaerolineales,D_4__Anaerolineaceae,D_5__uncultured,D_6__unculturedChloroflexibacterium
004ecf8543bef7ce2a68a8f9859a86c8,D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Pirellulales,D_4__Pirellulaceae,D_5__uncultured,
004f618774aa2c2bc53923adaac5c94b,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup19,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
004f6e11af3c66dca040db004f24fb86,D_0__Bacteria,D_1__Omnitrophicaeota,D_2__unculturedbacterium,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
0050237ad48e7442413b8c7fb73f4439,D_0__Bacteria,D_1__Patescibacteria,D_2__Gracilibacteria,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
005374c831fa856d6e4c45df235c164f,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__unculturedbacterium
0055be51be59c2883908b892cc730b96,D_0__Bacteria,D_1__Patescibacteria,D_2__Gracilibacteria,D_3__Absconditabacteriales(SR1),,,
0058e1378a56e08c05ca7053888ebf29,D_0__Bacteria,D_1__Fibrobacteres,D_2__Chitinivibrionia,D_3__Chitinivibrionales,D_4__Chitinivibrionaceae,D_5__possiblegenus03,D_6__unculturedbacterium
00659394f18c6aca13400f8bb114035f,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,
006c335ac75b4fc8c4e25bad46925c5b,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Desulfarculales,D_4__Desulfarculaceae,D_5__uncultured,D_6__unculturedDesulfuromonadalesbacterium
006c4724a1c9ebcd8f9aa1bd7f8ccca0,D_0__Bacteria,D_1__Cyanobacteria,D_2__Oxyphotobacteria,D_3__Chloroplast,D_4__Chlorellasp.CC-Bw-9,D_5__Chlorellasp.CC-Bw-9,D_6__Chlorellasp.CC-Bw-9
006e11b2ea1993fe60f255c75ff4ea39,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Halomonadaceae,D_5__Halomonas,D_6__CandidatusHalomonasphosphatis
0070dd7d595ef728b274ff62d2d4707e,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Desulfovibrionales,D_4__Desulfovibrionaceae,D_5__Desulfovibrio,
0077fdc668333e466859b9903c855dde,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Chromatiales,D_4__Chromatiaceae,D_5__uncultured,
007978dab7aed7eb4d5ffff337638bd2,D_0__Bacteria,D_1__Nitrospinae,D_2__P9X2b3D02,D_3__unculturedprokaryote,D_4__unculturedprokaryote,D_5__unculturedprokaryote,D_6__unculturedprokaryote
007c694338facaab580197b43c1e5ab0,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhodospirillales,D_4__Magnetospirillaceae,D_5__Phaeospirillum,
0085bcb52048d909d88f8d88b6a93f59,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Syntrophobacterales,D_4__Syntrophaceae,D_5__Desulfomonile,
0087d7b7b3b11429bfe8890273615ddb,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXIII,D_5__[Eubacterium]nodatumgroup,D_6__Eubacteriumsp.68-3-10
00888ada14d7fc87ac178f9839ec3c70,D_0__Bacteria,D_1__Actinobacteria,D_2__WCHB1-81,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
008b3e709ef13674e7d701474445fc5a,D_0__Bacteria,D_1__Planctomycetes,D_2__Phycisphaerae,D_3__Phycisphaerales,D_4__Phycisphaeraceae,D_5__AKYG587,D_6__unculturedbacterium
008ec2f5ffb04c42ff4a4bbe57874db2,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__RuminococcaceaeUCG-010,D_6__unculturedeubacteriumWCHB1-54
008f6b30d3662298fdb4481443bdf9ac,D_0__Archaea,D_1__Nanoarchaeaeota,D_2__Woesearchaeia,D_3__unculturedeuryarchaeote,D_4__unculturedeuryarchaeote,D_5__unculturedeuryarchaeote,D_6__unculturedeuryarchaeote
009f27391e5ec1bac1cb0740d6e2d3ee,D_0__Bacteria,D_1__Spirochaetes,D_2__MVP-15,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
00a96fbd0ac34bfd245f9c24f8737f7d,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Lachnospiraceae,D_5__Blautia,
